epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
28,10004,,0.8803706169128418,0.9220889210700989,0.8376232385635376,0.6031877994537354,0.5285176038742065,0.9760631918907166,17.16513442993164,0.660649836063385,1.2787456512451172
29,10049,0.6381231546401978,,,,,,,,,
29,10099,0.6268467903137207,,,,,,,,,
29,10149,0.6023622751235962,,,,,,,,,
29,10199,0.647488534450531,,,,,,,,,
29,10249,0.6174691319465637,,,,,,,,,
29,10299,0.6890352964401245,,,,,,,,,
29,10349,0.6611327528953552,,,,,,,,,
29,10349,,0.8726280331611633,0.9281639456748962,0.8415409326553345,0.6042646169662476,0.5065009593963623,0.9596096277236938,17.67083168029785,0.6388607621192932,1.2342948913574219
30,10399,0.6622098088264465,,,,,,,,,
30,10449,0.6150373816490173,,,,,,,,,
30,10499,0.6236090660095215,,,,,,,,,
30,10549,0.5916256308555603,,,,,,,,,
30,10599,0.6209291815757751,,,,,,,,,
30,10649,0.6917708516120911,,,,,,,,,
30,10694,,0.8761188983917236,0.9238688945770264,0.8436274528503418,0.6055334210395813,0.5338668823242188,0.9809718132019043,17.810806274414062,0.6831201910972595,1.2761114835739136
31,10699,0.6487305164337158,,,,,,,,,
31,10749,0.6529055237770081,,,,,,,,,
31,10799,0.6693782806396484,,,,,,,,,
31,10849,0.6371379494667053,,,,,,,,,
31,10899,0.6438800692558289,,,,,,,,,
31,10949,0.6602193713188171,,,,,,,,,
31,10999,0.6032623052597046,,,,,,,,,
31,11039,,0.8809970617294312,0.9293173551559448,0.8301587104797363,0.5985746383666992,0.5255250334739685,0.9819047451019287,17.529476165771484,0.668866753578186,1.2892796993255615
32,11049,0.6632804870605469,,,,,,,,,
32,11099,0.6018490791320801,,,,,,,,,
32,11149,0.6143820285797119,,,,,,,,,
32,11199,0.6200353503227234,,,,,,,,,
32,11249,0.669733464717865,,,,,,,,,
32,11299,0.6677741408348083,,,,,,,,,
32,11349,0.5892035961151123,,,,,,,,,
32,11384,,0.8724937438964844,0.9249811172485352,0.8319432139396667,0.603700578212738,0.48905929923057556,0.9615558385848999,18.02914810180664,0.613524854183197,1.2531102895736694
33,11399,0.6575729846954346,,,,,,,,,
33,11449,0.6213650703430176,,,,,,,,,
33,11499,0.6508204340934753,,,,,,,,,
33,11549,0.6230193972587585,,,,,,,,,
33,11599,0.6490573883056641,,,,,,,,,
33,11649,0.6005319952964783,,,,,,,,,
33,11699,0.6978582143783569,,,,,,,,,
33,11729,,0.8775510191917419,0.9262372255325317,0.8373199701309204,0.6048813462257385,0.5029367208480835,0.956008791923523,17.672332763671875,0.6452575922012329,1.2551884651184082
34,11749,0.6215249300003052,,,,,,,,,
34,11799,0.5762544870376587,,,,,,,,,
34,11849,0.5933786034584045,,,,,,,,,
34,11899,0.5834521651268005,,,,,,,,,
34,11949,0.7138211131095886,,,,,,,,,
34,11999,0.6138835549354553,,,,,,,,,
34,12049,0.6195576786994934,,,,,,,,,
34,12074,,0.8795650005340576,0.9309566020965576,0.8455658555030823,0.6034971475601196,0.49292829632759094,0.9754104614257812,17.985689163208008,0.61752849817276,1.2684555053710938
35,12099,0.64972323179245,,,,,,,,,
35,12149,0.5673495531082153,,,,,,,,,
35,12199,0.6220547556877136,,,,,,,,,
35,12249,0.6108821630477905,,,,,,,,,
35,12299,0.6308475136756897,,,,,,,,,
35,12349,0.7294994592666626,,,,,,,,,
35,12399,0.6012462377548218,,,,,,,,,
35,12419,,0.8799676895141602,0.9270161390304565,0.8373890519142151,0.6056696176528931,0.4952932596206665,0.9424138069152832,17.471763610839844,0.6334640979766846,1.2380677461624146
36,12449,0.6130524277687073,,,,,,,,,
36,12499,0.652702808380127,,,,,,,,,
36,12549,0.6361044049263,,,,,,,,,
36,12599,0.6228785514831543,,,,,,,,,
36,12649,0.6805084347724915,,,,,,,,,
36,12699,0.6394432783126831,,,,,,,,,
36,12749,0.5946970582008362,,,,,,,,,
36,12764,,0.8882474303245544,0.9272482395172119,0.8472148180007935,0.5988786220550537,0.5067245364189148,0.9584614038467407,17.62145233154297,0.6558180451393127,1.259744644165039
37,12799,0.6447093486785889,,,,,,,,,
37,12849,0.6102413535118103,,,,,,,,,
37,12899,0.6372016668319702,,,,,,,,,
37,12949,0.61641526222229,,,,,,,,,
37,12999,0.6325185894966125,,,,,,,,,
37,13049,0.6746002435684204,,,,,,,,,
37,13099,0.6574171781539917,,,,,,,,,
37,13109,,0.8737916350364685,0.9271984100341797,0.8526952266693115,0.5990308523178101,0.49372586607933044,0.9857886433601379,18.124755859375,0.6186667680740356,1.2889013290405273
38,13149,0.6350443959236145,,,,,,,,,
38,13199,0.6551044583320618,,,,,,,,,
38,13249,0.6258990168571472,,,,,,,,,
