epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/mse_caco2,val/mse_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
47,16299,0.6348340511322021,,,,,,,,,,,
47,16349,0.7067140340805054,,,,,,,,,,,
47,16399,0.704129695892334,,,,,,,,,,,
47,16449,0.7175126671791077,,,,,,,,,,,
47,16499,0.6128494143486023,,,,,,,,,,,
47,16549,0.6150014400482178,,,,,,,,,,,
47,16559,,0.8931257128715515,0.9260962009429932,0.8454179763793945,0.6038416028022766,0.44957560300827026,0.9231050610542297,0.3141680657863617,1.4063081741333008,0.9251033663749695,0.5605069994926453,1.1858786344528198
48,16599,0.6469647288322449,,,,,,,,,,,
48,16649,0.6240595579147339,,,,,,,,,,,
48,16699,0.6641803979873657,,,,,,,,,,,
48,16749,0.6973636150360107,,,,,,,,,,,
48,16799,0.6220221519470215,,,,,,,,,,,
48,16849,0.651647686958313,,,,,,,,,,,
48,16899,0.6701871156692505,,,,,,,,,,,
48,16904,,0.8882921934127808,0.9267711639404297,0.8425502777099609,0.6012781262397766,0.4493646025657654,0.9042022228240967,0.2938406765460968,1.3950790166854858,0.9110122323036194,0.542070746421814,1.181134581565857
49,16949,0.6023604273796082,,,,,,,,,,,
49,16999,0.6836066246032715,,,,,,,,,,,
49,17049,0.654958963394165,,,,,,,,,,,
49,17099,0.6220136284828186,,,,,,,,,,,
49,17149,0.651930570602417,,,,,,,,,,,
49,17199,0.655193567276001,,,,,,,,,,,
49,17249,0.6465380191802979,,,,,,,,,,,
49,17249,,0.886009693145752,0.9268624186515808,0.8392968773841858,0.6030083298683167,0.44358113408088684,0.9143136739730835,0.2991138696670532,1.408922791481018,0.9227411150932312,0.5469130277633667,1.1869804859161377
