epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/mse_caco2,val/mse_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
4,1449,0.9256861209869385,,,,,,,,,,,
4,1499,0.9054109454154968,,,,,,,,,,,
4,1549,0.7935152053833008,,,,,,,,,,,
4,1599,0.8012549877166748,,,,,,,,,,,
4,1649,0.8623886704444885,,,,,,,,,,,
4,1699,0.8820453882217407,,,,,,,,,,,
4,1724,,0.8966165781021118,0.899634063243866,0.803174614906311,0.6150346994400024,0.4265812039375305,0.9636910557746887,0.2709830701351166,1.5873382091522217,1.0417637825012207,0.5205603241920471,1.2598960399627686
5,1749,1.0325098037719727,,,,,,,,,,,
5,1799,0.8716039657592773,,,,,,,,,,,
5,1849,0.8747511506080627,,,,,,,,,,,
5,1899,0.7693071365356445,,,,,,,,,,,
5,1949,0.8584954738616943,,,,,,,,,,,
5,1999,0.8458366394042969,,,,,,,,,,,
5,2049,0.8086456656455994,,,,,,,,,,,
5,2069,,0.9026584029197693,0.9089131951332092,0.8087806701660156,0.6138567924499512,0.42137014865875244,0.8711874485015869,0.25876450538635254,1.3395624160766602,0.88723224401474,0.5086889863014221,1.1573946475982666
6,2099,0.7973114252090454,,,,,,,,,,,
6,2149,0.7667730450630188,,,,,,,,,,,
6,2199,0.7065154314041138,,,,,,,,,,,
6,2249,0.8422332406044006,,,,,,,,,,,
6,2299,0.8606529235839844,,,,,,,,,,,
6,2349,0.8575886487960815,,,,,,,,,,,
6,2399,0.7579021453857422,,,,,,,,,,,
6,2414,,0.9004654288291931,0.9096908569335938,0.805444598197937,0.6114733219146729,0.43886834383010864,0.9093275666236877,0.28820616006851196,1.4370319843292236,0.9669231176376343,0.5368483662605286,1.1987626552581787
7,2449,0.7459716200828552,,,,,,,,,,,
7,2499,0.7753036618232727,,,,,,,,,,,
7,2549,0.7545223236083984,,,,,,,,,,,
7,2599,0.7652705907821655,,,,,,,,,,,
7,2649,0.7738566398620605,,,,,,,,,,,
7,2699,0.7984567284584045,,,,,,,,,,,
7,2749,0.8161482810974121,,,,,,,,,,,
7,2759,,0.9009130001068115,0.9097904562950134,0.8089975714683533,0.6103122234344482,0.4252607226371765,0.9056487083435059,0.26514092087745667,1.4296411275863647,0.9410215616226196,0.5149183869361877,1.1956759691238403
8,2799,0.7804360389709473,,,,,,,,,,,
8,2849,0.7290263772010803,,,,,,,,,,,
